Rate: 1000 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
-2.22197, -4.33543, 691.46340, -9.91949,  3.68709, -0.31515
-2.31084, -3.80456, 692.51809, -9.84107,  3.56815, -0.26263
-1.95533, -4.06999, 692.51809, -9.91949,  3.64745, -0.29764
-1.68869, -3.89304, 690.05727, -9.99790,  3.44922, -0.31515
-2.48860, -4.06999, 689.70583, -9.99790,  3.56815, -0.36768
-2.04421, -3.71608, 691.46340, -9.84107,  3.52851, -0.36768
-2.13309, -3.89304, 690.76040, -9.95869,  3.60780, -0.38519
-2.04421, -4.06999, 691.81496, -10.07632,  3.52851, -0.33266
-1.95533, -3.98151, 691.81496, -9.91949,  3.56815, -0.36768
-2.13309, -3.89304, 691.11196, -9.76266,  3.76638, -0.28014
-1.95533, -3.53912, 690.40883, -9.99790,  3.68709, -0.40270
-2.57748, -4.24695, 690.76040, -9.64504,  3.68709, -0.38519
-1.95533, -3.71608, 691.11196, -9.72345,  3.68709, -0.36768
-2.04421, -3.98151, 689.70583, -9.80186,  3.64745, -0.35017
-2.31084, -4.24695, 690.40883, -9.68424,  3.60780, -0.35017
-1.86645, -3.62760, 691.46340, -9.80186,  3.80603, -0.35017
-2.48860, -3.62760, 690.40883, -9.72345,  3.84568, -0.31515
-2.13309, -3.62760, 690.05727, -9.72345,  3.48886, -0.33266
-2.39972, -3.62760, 690.76040, -9.80186,  3.68709, -0.31515
-2.13309, -3.53912, 691.46340, -9.56662,  3.64745, -0.36768
-2.48860, -4.15847, 690.40883, -9.68424,  3.76638, -0.38519
-2.39972, -3.89304, 689.35427, -9.64504,  3.60780, -0.40270
-2.39972, -3.71608, 690.40883, -9.84107,  3.68709, -0.36768
-2.31084, -3.80456, 690.76040, -9.64504,  3.40957, -0.40270
-2.31084, -4.15847, 689.35427, -9.64504,  3.64745, -0.42020
-2.13309, -3.71608, 691.46340, -9.52741,  3.60780, -0.42020
-1.95533, -3.62760, 690.05727, -9.72345,  3.60780, -0.43771
-2.57748, -3.89304, 690.40883, -9.64504,  3.80603, -0.38519
-2.13309, -3.98151, 690.76040, -9.60583,  3.68709, -0.36768
-2.39972, -3.71608, 689.70583, -9.64504,  3.60780, -0.45522
-2.39972, -3.71608, 688.29970, -9.56662,  3.80603, -0.43771
-2.57748, -3.62760, 690.05727, -9.44900,  3.64745, -0.36768
-2.57748, -3.71608, 688.65114, -9.68424,  3.72674, -0.40270
-2.39972, -3.62760, 691.46340, -9.64504,  3.88532, -0.33266
-2.39972, -3.98151, 689.00271, -9.56662,  3.64745, -0.42020
-2.84412, -3.45065, 690.76040, -9.52741,  3.56815, -0.38519
-2.31084, -3.45065, 689.00271, -9.56662,  3.76638, -0.47273
-2.57748, -3.89304, 690.76040, -9.60583,  3.72674, -0.31515
-2.48860, -3.62760, 689.35427, -9.40979,  3.64745, -0.47273
-2.75524, -3.98151, 689.35427, -9.72345,  3.72674, -0.40270
-2.48860, -4.06999, 689.70583, -9.52741,  3.80603, -0.49024
-2.39972, -3.45065, 690.40883, -9.48821,  3.76638, -0.45522
-2.57748, -3.89304, 689.35427, -9.52741,  3.84568, -0.42020
-2.75524, -3.98151, 689.70583, -9.60583,  3.76638, -0.42020
-2.39972, -3.62760, 689.35427, -9.52741,  3.64745, -0.45522
-2.48860, -3.80456, 690.40883, -9.56662,  3.92497, -0.54276
-2.66636, -3.89304, 690.05727, -9.52741,  3.68709, -0.40270
-2.57748, -3.89304, 691.81496, -9.56662,  3.68709, -0.40270
-2.13309, -3.71608, 689.70583, -9.52741,  3.76638, -0.43771
-2.75524, -3.80456, 689.00271, -9.37058,  3.88532, -0.42020
-2.31084, -4.06999, 689.00271, -9.29217,  4.12320, -0.42020
-2.84412, -3.98151, 690.40883, -9.60583,  3.72674, -0.45522
-2.39972, -3.53912, 689.70583, -9.37058,  3.76638, -0.42020
-2.57748, -3.98151, 689.70583, -9.48821,  3.80603, -0.47273
-3.11075, -3.89304, 689.35427, -9.48821,  3.84568, -0.49024
-2.04421, -3.71608, 689.70583, -9.52741,  3.88532, -0.45522
-2.57748, -4.15847, 690.05727, -9.64504,  3.76638, -0.42020
-2.39972, -4.06999, 689.35427, -9.33138,  3.96462, -0.45522
-2.22197, -3.98151, 689.35427, -9.44900,  3.92497, -0.47273
-2.39972, -3.71608, 690.40883, -9.40979,  3.88532, -0.47273
-2.57748, -3.89304, 688.29970, -9.44900,  3.76638, -0.54276
-2.39972, -4.06999, 689.35427, -9.33138,  3.80603, -0.45522
-2.66636, -4.06999, 689.35427, -9.33138,  3.80603, -0.50775
-2.75524, -4.15847, 688.65114, -9.52741,  4.00426, -0.47273
-2.31084, -3.89304, 690.40883, -9.44900,  3.84568, -0.38519
-2.39972, -3.62760, 690.05727, -9.48821,  3.88532, -0.50775
-2.48860, -3.89304, 689.35427, -9.37058,  3.88532, -0.47273
-2.66636, -4.33543, 689.70583, -9.37058,  3.84568, -0.45522
-2.31084, -3.71608, 689.00271, -9.37058,  3.80603, -0.42020
-2.57748, -3.89304, 688.65114, -9.29217,  3.68709, -0.47273
-2.57748, -3.71608, 688.65114, -9.44900,  3.96462, -0.49024
-2.48860, -3.71608, 690.76040, -9.40979,  4.00426, -0.47273
-3.02187, -3.89304, 689.35427, -9.44900,  3.92497, -0.49024
-2.31084, -4.42390, 689.00271, -9.25296,  3.92497, -0.45522
-2.22197, -4.15847, 689.70583, -9.21375,  3.92497, -0.50775
-2.48860, -3.98151, 690.76040, -9.40979,  3.72674, -0.40270
-2.75524, -4.24695, 689.35427, -9.40979,  3.92497, -0.43771
-2.57748, -4.06999, 688.29970, -9.56662,  3.92497, -0.54276
-2.31084, -3.98151, 690.40883, -9.37058,  3.84568, -0.54276
-2.48860, -3.98151, 690.05727, -9.29217,  3.92497, -0.50775
-2.31084, -3.98151, 688.29970, -9.33138,  3.88532, -0.56027
-2.66636, -3.89304, 688.29970, -9.37058,  3.84568, -0.56027
-2.31084, -4.06999, 688.65114, -9.37058,  3.72674, -0.43771
-2.22197, -3.98151, 688.65114, -9.48821,  4.00426, -0.45522
-1.86645, -3.71608, 691.81496, -9.29217,  3.96462, -0.43771
-2.04421, -4.06999, 690.76040, -9.29217,  3.84568, -0.49024
-2.22197, -4.15847, 689.70583, -9.37058,  3.96462, -0.45522
-1.86645, -4.06999, 687.94814, -9.48821,  3.96462, -0.47273
-2.13309, -3.89304, 689.35427, -9.29217,  3.96462, -0.42020
-2.39972, -3.80456, 690.05727, -9.37058,  3.80603, -0.40270
-2.04421, -4.42390, 689.70583, -9.40979,  3.88532, -0.43771
-2.13309, -3.89304, 690.05727, -9.40979,  3.88532, -0.45522
-2.22197, -3.80456, 689.35427, -9.29217,  3.92497, -0.43771
-2.22197, -3.98151, 689.70583, -9.25296,  3.92497, -0.40270
-2.22197, -4.06999, 688.65114, -9.17455,  3.96462, -0.43771
-1.59982, -4.06999, 691.46340, -9.21375,  3.88532, -0.47273
-2.22197, -3.89304, 690.05727, -9.44900,  4.00426, -0.45522
-2.13309, -3.89304, 690.05727, -9.29217,  3.80603, -0.45522
-2.04421, -3.71608, 690.40883, -9.29217,  3.96462, -0.47273
-1.95533, -3.80456, 691.11196, -9.17455,  3.72674, -0.40270
-1.59982, -3.71608, 690.40883, -9.29217,  4.00426, -0.45522
-2.22197, -3.53912, 689.70583, -9.40979,  3.96462, -0.47273
-2.13309, -3.89304, 689.35427, -9.33138,  3.84568, -0.45522
-1.68869, -3.80456, 689.35427, -9.29217,  3.72674, -0.40270
-1.42206, -3.71608, 691.46340, -9.17455,  3.80603, -0.35017
-1.77757, -3.53912, 689.70583, -9.33138,  3.76638, -0.43771
-2.04421, -3.98151, 689.00271, -9.17455,  4.08355, -0.42020
-2.22197, -3.62760, 690.05727, -9.29217,  3.88532, -0.38519
-1.68869, -3.71608, 691.11196, -9.21375,  3.76638, -0.38519
-1.68869, -3.53912, 691.11196, -9.29217,  3.92497, -0.40270
-2.13309, -3.45065, 691.11196, -9.21375,  3.80603, -0.36768
-1.95533, -4.06999, 691.11196, -9.33138,  3.76638, -0.36768
-1.86645, -3.27369, 690.05727, -9.25296,  3.84568, -0.42020
-1.59982, -3.71608, 691.46340, -9.21375,  3.80603, -0.42020
-1.86645, -3.98151, 690.76040, -9.17455,  3.84568, -0.38519
-1.86645, -3.71608, 687.59658, -9.17455,  3.88532, -0.33266
-1.95533, -3.98151, 689.35427, -9.21375,  3.88532, -0.36768
-1.86645, -4.06999, 691.11196, -9.13534,  3.76638, -0.43771
-1.95533, -3.53912, 689.70583, -9.21375,  3.84568, -0.42020
-2.22197, -3.80456, 690.05727, -9.13534,  3.84568, -0.38519
-1.68869, -3.89304, 689.70583, -9.13534,  3.80603, -0.42020
-1.77757, -3.62760, 690.40883, -8.97851,  3.72674, -0.33266
-2.13309, -3.27369, 690.76040, -9.09613,  3.96462, -0.40270
-2.13309, -3.27369, 689.70583, -9.01772,  3.88532, -0.42020
-2.22197, -3.53912, 688.65114, -9.05692,  3.96462, -0.38519
-1.86645, -3.71608, 691.11196, -9.09613,  3.88532, -0.40270
-1.86645, -3.09673, 689.70583, -8.97851,  3.84568, -0.40270
-1.68869, -3.80456, 688.65114, -9.25296,  4.04391, -0.42020
-1.59982, -3.89304, 689.00271, -9.01772,  3.88532, -0.36768
-2.04421, -3.80456, 690.76040, -9.01772,  3.84568, -0.42020
-2.39972, -3.53912, 690.05727, -8.93930,  3.92497, -0.42020
