Rate: 1000 Hz
      Fx,        Fy,        Fz,        Mx,        My,        Mz
       N,         N,         N,       N-m,       N-m,       N-m
-1.15542, -0.08848, 691.11196, -12.35035, -1.11009, -0.12256
-1.24430, -0.35391, 691.11196, -12.62480, -1.30832, -0.19259
-0.97766, -0.17696, 691.11196, -12.38956, -1.26868, -0.10505
-1.15542,  0.00000, 691.46340, -12.35035, -1.22903, -0.12256
-1.06654,  0.17696, 691.46340, -12.38956, -1.30832, -0.05253
-0.97766,  0.00000, 691.11196, -12.23273, -1.38762, -0.08754
-0.79991,  0.17696, 688.29970, -12.23273, -1.11009, -0.14007
-0.71103,  0.26543, 691.46340, -12.11511, -1.30832, -0.10505
-1.42206,  0.44239, 690.05727, -12.31114, -1.30832, -0.14007
-0.97766,  0.35391, 690.05727, -12.27193, -1.38762, -0.10505
-0.88879,  0.08848, 690.40883, -12.27193, -1.30832, -0.15758
-0.88879,  0.08848, 689.00271, -12.19352, -1.42726, -0.07003
-0.97766,  0.00000, 689.70583, -12.27193, -1.30832, -0.05253
-0.97766,  0.70782, 691.11196, -12.07590, -1.38762, -0.12256
-0.97766,  0.26543, 691.11196, -11.91907, -1.46691, -0.12256
-0.88879,  0.44239, 690.05727, -12.03669, -1.34797, -0.10505
-0.53327,  0.26543, 689.35427, -12.07590, -1.46691, -0.10505
-0.97766,  0.53087, 689.70583, -12.03669, -1.38762, -0.15758
-0.79991,  0.70782, 690.05727, -12.15431, -1.46691, -0.08754
-0.79991,  0.61935, 690.40883, -12.03669, -1.46691, -0.10505
-1.06654,  0.61935, 688.29970, -11.91907, -1.38762, -0.14007
-0.79991,  0.44239, 688.29970, -11.87986, -1.54620, -0.12256
-0.62215,  0.70782, 688.29970, -11.99748, -1.66514, -0.14007
-0.97766,  0.88478, 690.05727, -11.91907, -1.50655, -0.14007
-0.79991,  0.79630, 689.35427, -11.95828, -1.58585, -0.17509
-1.59982,  0.53087, 688.65114, -12.07590, -1.50655, -0.12256
-1.15542,  0.79630, 687.94814, -11.84065, -1.50655, -0.08754
-0.88879,  0.70782, 688.29970, -11.80145, -1.58585, -0.19259
-1.06654,  0.88478, 687.59658, -11.80145, -1.66514, -0.14007
-1.24430,  0.26543, 689.00271, -11.76224, -1.62549, -0.15758
-0.79991,  0.53087, 687.24502, -11.76224, -1.62549, -0.15758
-1.06654,  0.44239, 688.65114, -11.72303, -1.50655, -0.19259
-1.15542,  0.00000, 687.59658, -11.76224, -1.54620, -0.14007
-0.79991,  0.44239, 687.24502, -11.72303, -1.62549, -0.15758
-0.88879,  0.44239, 687.24502, -11.64462, -1.54620, -0.21010
-1.06654,  0.88478, 687.24502, -11.64462, -1.58585, -0.21010
-0.88879,  0.70782, 686.19045, -11.60541, -1.70478, -0.24512
-0.88879,  0.26543, 687.24502, -11.80145, -1.62549, -0.28014
-0.88879,  0.79630, 687.24502, -11.72303, -1.58585, -0.21010
-1.15542,  0.53087, 686.54201, -11.76224, -1.62549, -0.24512
-1.06654,  0.61935, 688.65114, -11.72303, -1.74443, -0.26263
-0.71103,  0.97326, 685.48745, -11.56620, -1.66514, -0.24512
-0.97766,  0.88478, 686.54201, -11.72303, -1.70478, -0.24512
-0.88879,  0.35391, 686.89357, -11.68382, -1.82372, -0.26263
-1.06654,  0.35391, 687.59658, -11.60541, -1.86337, -0.28014
-0.53327,  0.70782, 686.89357, -11.68382, -1.70478, -0.36768
-0.62215,  0.17696, 686.89357, -11.52699, -1.66514, -0.31515
-0.71103,  0.61935, 685.48745, -11.60541, -1.74443, -0.36768
-0.88879,  0.70782, 686.19045, -11.56620, -1.78408, -0.28014
-0.79991,  0.61935, 687.24502, -11.87986, -1.70478, -0.38519
-0.97766,  0.53087, 685.83889, -11.56620, -1.66514, -0.35017
-1.42206,  0.70782, 686.89357, -11.72303, -1.90302, -0.31515
-1.24430,  0.61935, 687.24502, -11.72303, -1.78408, -0.36768
-1.24430,  0.70782, 685.13588, -11.64462, -1.46691, -0.40270
-0.88879,  0.44239, 686.19045, -11.76224, -1.70478, -0.28014
-1.24430,  0.44239, 686.54201, -11.52699, -1.66514, -0.35017
-1.06654,  0.53087, 685.83889, -11.76224, -1.78408, -0.43771
-1.59982,  0.53087, 686.89357, -11.87986, -1.86337, -0.36768
-1.33318,  0.26543, 685.13588, -11.76224, -1.66514, -0.40270
-1.06654,  0.00000, 685.48745, -11.76224, -1.82372, -0.42020
-1.68869,  0.70782, 687.94814, -11.72303, -1.74443, -0.36768
-1.24430, -0.08848, 686.54201, -11.64462, -1.82372, -0.42020
-1.15542,  0.44239, 686.54201, -11.80145, -1.66514, -0.43771
-1.15542,  0.08848, 687.59658, -11.56620, -1.74443, -0.40270
-1.33318,  0.61935, 685.48745, -11.72303, -1.62549, -0.45522
-1.51094,  0.26543, 687.24502, -11.76224, -1.62549, -0.43771
-1.24430,  0.08848, 686.19045, -11.72303, -1.78408, -0.47273
-1.33318,  0.17696, 687.94814, -11.91907, -1.94266, -0.43771
-1.24430,  0.08848, 688.29970, -11.80145, -1.90302, -0.47273
-1.51094, -0.17696, 687.94814, -11.80145, -1.90302, -0.45522
-0.97766, -0.08848, 690.76040, -11.84065, -2.02195, -0.52526
-1.33318,  0.00000, 689.35427, -11.99748, -1.82372, -0.52526
-1.51094,  0.17696, 687.94814, -11.95828, -1.90302, -0.43771
-1.33318,  0.26543, 688.65114, -12.07590, -1.86337, -0.49024
-1.86645,  0.44239, 686.89357, -11.91907, -1.90302, -0.50775
-1.77757,  0.26543, 688.29970, -12.03669, -1.94266, -0.45522
-1.33318,  0.17696, 686.89357, -11.76224, -2.02195, -0.45522
-1.51094,  0.00000, 689.00271, -11.91907, -2.02195, -0.45522
-1.42206,  0.35391, 688.65114, -11.95828, -2.06160, -0.52526
-1.51094, -0.17696, 689.00271, -11.91907, -1.94266, -0.43771
-1.86645,  0.08848, 688.65114, -11.95828, -2.10125, -0.47273
-1.59982,  0.00000, 688.65114, -11.84065, -2.02195, -0.49024
-1.86645, -0.17696, 687.24502, -11.87986, -1.86337, -0.57778
